ID,question_text,ideal_answer,weighted_keywords
1,"What is a linked list, and how is it different from an array?","A linked list is a data structure where elements are stored in nodes, each containing data and a reference to the next node. Unlike arrays, linked lists do not require contiguous memory allocation.","linked list (1.0), data structure (0.8), node (0.8), array (0.7), contiguous memory (0.6)"
2,Define a singly linked list and explain its characteristics.,"A singly linked list is a data structure where each node points to the next node, and the last node points to null. Only forward traversal is allowed.","singly linked list (1.0), node (0.9), points to next node (0.8), null (0.7), forward traversal (0.7)"
3,"What is a doubly linked list, and how does it differ from a singly linked list?","A doubly linked list has nodes that contain references to both the next and previous nodes, allowing bidirectional traversal.","doubly linked list (1.0), references (0.7), next node (0.8), previous node (0.8), bidirectional traversal (0.8)"
4,Explain the concept of a circular linked list.,"In a circular linked list, the last node points back to the first node, creating a circular structure without null references.","circular linked list (1.0), last node (0.7), first node (0.7), circular structure (0.8), null references (0.7)"
5,"What is a sentinel node, and why is it used in linked lists?","A sentinel node is a dummy node used to simplify boundary conditions, such as handling empty lists or insertion at the beginning or end.","sentinel node (1.0), dummy node (0.8), boundary conditions (0.7), empty list (0.6)"
6,How do you insert a node at the beginning of a linked list?,"To insert a node at the beginning, create a new node and set its next pointer to the current head. Update the head pointer to the new node.","insert node (0.9), beginning (0.8), head pointer (0.8), new node (0.9), next pointer (0.7)"
7,Describe the process of inserting a node at the end of a singly linked list.,"To insert at the end, traverse the list to the last node, set its next pointer to the new node, and update the new node’s next to null.","insert at end (1.0), traverse (0.8), last node (0.8), next pointer (0.8), null (0.7)"
8,How would you delete the first node of a singly linked list?,"To delete the first node, update the head pointer to the second node, effectively removing the first node from the list.","delete first node (1.0), head pointer (0.9), second node (0.7), remove node (0.8)"
9,Explain the steps to delete a node at a specific position in a linked list.,"Traverse to the node just before the desired position, adjust its next pointer to skip the target node, then delete the target node.","delete node (1.0), specific position (0.8), traverse (0.7), next pointer (0.8), skip target node (0.7)"
10,What is the time complexity of inserting a node at the beginning of a linked list?,The time complexity is O(1) since it only requires updating the head pointer.,"time complexity (1.0), O(1) (1.0), insert at beginning (0.8), head pointer (0.7)"
11,How would you traverse a linked list to print all elements?,Start from the head node and move through each node using the next pointer until reaching the end of the list.,"traverse (1.0), head node (0.7), next pointer (0.8), end of list (0.7)"
12,Describe the process of searching for an element in a linked list.,"Starting from the head, traverse each node, comparing its data to the target value until a match is found or the end is reached.","search (1.0), traverse (0.8), head (0.7), compare data (0.8), target value (0.7), end of list (0.7)"
13,What is the time complexity of searching for an element in a linked list?,The time complexity is O(n) since each node needs to be checked until the element is found.,"time complexity (1.0), O(n) (1.0), search (0.8), check node (0.7)"
14,Why are linked lists used for implementing stacks?,"Linked lists allow dynamic memory allocation, making them suitable for implementing stacks without pre-allocating memory.","linked list (1.0), stack (0.9), dynamic memory allocation (0.8), implement (0.7), no pre-allocated memory (0.7)"
15,Describe a scenario where a circular linked list would be preferred over a singly linked list.,"A circular linked list is ideal for applications where continuous traversal is required, such as a round-robin scheduler.","circular linked list (1.0), continuous traversal (0.8), singly linked list (0.7), round-robin scheduler (0.9)"
16,Explain how a linked list can be used to implement a queue.,"A linked list can represent a queue by using the head as the front and the tail as the rear, enabling enqueue and dequeue operations.","linked list (1.0), queue (0.9), enqueue (0.8), dequeue (0.8), head (0.7), tail (0.7)"
17,Compare the memory efficiency of linked lists with arrays.,"Linked lists are more memory-efficient for dynamic data but require extra memory for pointers, unlike arrays that use contiguous memory.","memory efficiency (1.0), linked list (0.8), array (0.8), contiguous memory (0.7), pointers (0.7)"
18,Discuss the advantages of linked lists over arrays.,"Linked lists allow dynamic resizing, efficient insertion and deletion, and flexible memory usage, whereas arrays have fixed sizes.","advantages (1.0), linked list (0.9), array (0.9), dynamic resizing (0.8), insertion (0.8), deletion (0.8), fixed size (0.7)"
